9166 2
data -0.66444093 -1.0529528
time -0.88832808 -0.42084548
visualization -0.62593645 -1.4028099
visual -0.67324531 -1.4512441
fig -1.2164259 0.14507629
topic -0.760548 -0.5991835
information -0.65237421 -1.0120782
based -0.87171406 -0.53076625
analysis -0.67464113 -1.1685053
ieee -0.74628586 -2.4183216
view -1.0259476 -0.21135426
graph -0.69109052 -1.1333396
topics -0.7243045 -0.83513379
design -0.905662 -0.50894916
patterns -0.75841337 -0.80511177
layout -1.0294721 -0.12363603
number -1.1270864 -0.047722317
opinion -0.84172845 -0.42835042
model -0.92233437 -0.35972181
map -1.0125904 -0.29998133
cluster -1.1798916 0.024313038
method -1.1166096 -0.1090771
nodes -1.2516736 0.15474203
related -1.064351 -0.16640635
word -0.95863879 -0.22141029
tree -1.1619883 -0.092178732
multiple -0.80083787 -0.71033221
node -1.1333174 0.014403837
set -1.0466506 -0.15999256
temporal -0.698632 -0.82963383
example -1.0612769 -0.12488604
results -1.1054877 -0.16657728
experts -1.0178448 -0.29544747
pages -0.73921168 -2.2252746
work -0.84817439 -0.68386835
text -0.64653796 -1.8544106
algorithm -1.1270741 0.032971196
social -0.60871273 -1.2969401
series -0.75855976 -0.65789646
clusters -1.1965337 0.060897969
flow -0.94526374 -0.31414923
line -1.2091371 0.20434493
analytics -0.69070935 -1.8720028
study -0.94661838 -0.43877664
graphs -0.71926302 -0.80093396
clustering -0.82030535 -0.57738602
exploration -0.66165966 -1.086095
process -0.99275041 -0.20342672
liu -0.80387211 -2.4868231
road -0.99375069 -0.3236742
feature -0.97498882 -0.27888113
edge -0.9468466 -0.3018001
case -0.98120159 -0.28422216
color -1.2509159 0.13958775
techniques -0.80268025 -0.82230675
urban -0.75198841 -1.0612295
layer -1.3155987 0.33012226
pp -0.87883735 -2.7169461
level -1.0448295 -0.14812474
interactive -0.70703655 -1.3355488
group -1.0505978 -0.21692073
media -0.59057504 -1.348151
help -0.90683669 -0.43512914
groups -1.0171545 -0.28204155
space -0.77200747 -0.67259765
graphics -0.73352259 -2.3789301
figure -1.0500476 -0.22496089
ow -0.70644695 -1.1441836
focus -0.93509269 -0.39792573
research -0.69274765 -1.5442214
problem -1.0580672 -0.16170536
words -1.2610712 0.20617947
selected -1.1660601 0.010929086
features -1.010227 -0.19538459
changes -0.81498533 -0.50916821
route -0.81895763 -0.74913388
section -0.99471468 -0.34791002
diffusion -0.66914678 -1.6575357
interactions -0.9005037 -0.48846859
relationships -0.9898473 -0.38823828
result -1.2366946 0.11576117
region -1.1215005 -0.12530251
tion -0.73164344 -0.91170061
network -0.8141731 -0.58979148
overview -0.79167229 -0.67660999
content -0.94924313 -0.30742368
views -0.89589858 -0.52473867
learning -0.62272543 -1.1827518
layers -1.3377686 0.28667727
methods -0.76425463 -0.70000434
context -0.84998381 -0.63938701
stacked -0.87866318 -0.5432561
points -1.0632025 -0.13922438
major -0.91677243 -0.44241542
scale -0.76212209 -1.053817
explore -0.8953827 -0.5230152
analyze -0.91543454 -0.44806716
opinions -0.8250246 -0.67978591
uncertainty -0.60571116 -1.375499
movement -0.65393257 -1.4956671
corresponding -1.0773495 -0.095206976
documents -1.0789493 -0.025315892
pattern -0.84638053 -0.66475087
tweets -1.1609499 0.073185369
com -0.78013861 -1.5507988
point -1.0726253 -0.12452591
trajectories -0.7043587 -0.72961789
ing -0.83066016 -0.53172773
studies -0.83509016 -0.59997588
public -0.85395586 -0.34312284
tasks -0.9295978 -0.49321178
ranking -1.1823852 -0.1705806
real -0.9238584 -0.42784074
search -0.77881134 -1.2408124
vol -0.76753813 -2.5526078
approach -0.71092892 -1.1348883
transactions -0.74776912 -2.4332132
clouds -0.92509538 -0.49489054
spatial -0.80439901 -0.8156842
street -0.90602082 -0.43298677
location -1.0360186 -0.28615695
speed -1.2485719 -0.075500257
clutter -1.0957232 -0.11034174
value -1.3016107 0.26632974
cloud -1.2008281 0.019758333
support -0.89227921 -0.61959237
mining -0.67818213 -1.6047128
domain -0.94119906 -0.52302504
understand -0.91572332 -0.44250789
science -0.78633988 -2.4176095
cell -1.1351435 -0.25902691
understanding -0.69833416 -1.0356936
local -1.0605799 -0.20751762
visualizing -0.66248721 -1.4901439
solution -1.278621 -0.025240971
learners -1.0611541 -0.11813468
display -0.9125331 -0.44239989
locations -1.1634026 -0.13802651
regions -0.95829642 -0.45320344
trajectory -0.58201849 -1.2207061
traf -0.88603443 -0.88964123
visually -0.72943598 -0.83929288
area -1.0206546 -0.29769596
training -1.0782006 0.0014714324
dynamic -0.64029717 -1.1835582
change -0.88989836 -0.46224016
comparison -0.91263574 -0.45999664
addition -0.98421574 -0.27543485
trans -0.81781703 -2.6041245
proposed -0.95401442 -0.38752264
correlation -1.0970107 -0.0065436768
represent -1.0401993 -0.14421834
proceedings -0.72384483 -2.3999937
analysts -0.96529585 -0.49166441
document -0.69126409 -0.79172939
average -1.3362081 0.3276884
acm -0.7734344 -2.4343665
expert -1.1855239 0.0058184969
edges -1.3912134 0.33642232
cut -1.3001822 0.15300792
order -1.0817858 -0.12370031
lead -1.0684197 -0.31423208
keywords -0.9471941 -0.35892922
university -0.73609489 -2.3657129
density -0.80729252 -0.78975129
city -0.79009646 -0.86914659
values -1.1316509 -0.013457228
dataset -1.125567 -0.030970491
distance -0.9851892 -0.18973386
wu -0.80665445 -2.5424814
evolution -0.73523045 -0.9611097
people -1.0551313 -0.26207808
news -0.69776863 -0.64326245
vis -0.84021652 -2.6419024
distribution -1.0537729 -0.19309132
leaders -1.150521 0.071837716
mobility -0.76623148 -1.0758965
events -0.85914135 -0.68435162
qu -0.81577766 -2.5481782
present -0.90261614 -0.52503151
bar -1.2536023 0.12596904
chart -1.128721 -0.03889256
key -0.85306835 -0.62685907
trend -0.9727425 -0.2735219
human -0.73630387 -1.449487
similarity -1.1347773 -0.057476036
attributes -1.065389 -0.21729405
peaks -1.0252084 -0.3085354
comput -0.82340282 -2.5888572
online -0.73544335 -1.7522203
generated -1.182456 -0.011398806
routes -1.078061 -0.46417481
idea -1.2485985 -0.055201434
proc -0.84495324 -2.5482454
identify -1.0247418 -0.15655674
developed -0.90637678 -0.39351219
roads -1.3418583 0.023182502
glyph -1.1001626 -0.19391686
hierarchical -0.59731066 -1.3741566
types -0.89555401 -0.49342886
size -1.1454566 -0.064342402
force -1.3812734 0.36557779
conference -0.75456089 -2.371084
parallel -0.8294121 -0.58713287
activity -1.0100048 -0.39335534
traffic -0.7342025 -0.80690849
represents -1.2242076 0.14299232
interesting -1.0399114 -0.37567404
maps -0.79908782 -0.75589156
taxi -0.7832579 -0.87344939
technique -0.90642434 -0.54692149
neurons -1.4331782 0.41077712
rst -1.0454928 -0.34646779
effective -0.9019205 -0.53148413
customer -0.75554782 -1.0692055
designed -0.99089551 -0.31913221
compared -1.1902096 0.029053574
course -1.0293311 -0.24422602
technology -0.77646053 -2.4575174
encode -1.192868 0.028803501
knowledge -0.81290162 -0.84566557
link -0.8679685 -0.49716792
red -1.3104413 0.18236263
optimization -1.1496933 -0.065527894
entities -0.86021936 -0.49548
lines -1.2225293 -0.10342783
event -0.80291086 -1.0814103
easily -1.0537709 -0.24290752
behaviors -0.91283089 -0.79158604
multi -0.76941168 -0.83854985
keyword -1.1483845 -0.038119387
details -1.1021401 -0.17335624
applications -0.69758546 -1.306417
behavior -0.73184919 -1.2012627
analyzing -0.82210624 -0.70463282
common -0.9265247 -0.3497569
peak -1.1463896 -0.12906669
twitter -0.79507929 -0.69889444
visualizations -0.69833893 -1.0877345
attention -1.0340841 -0.19205989
loyalty -0.71425891 -0.82109344
hong -0.75944227 -1.9890643
facilitate -0.99259567 -0.36127928
contains -1.1747177 0.054657392
previous -1.0758497 -0.18518062
visualize -0.9138236 -0.62606728
select -1.1593974 -0.023135632
paper -0.87001413 -0.75971144
control -1.0587814 -0.021372352
systems -0.62264121 -1.2827276
mail -0.62136167 -2.3099689
models -0.70830768 -0.95869225
neuron -1.537818 0.45663977
step -1.2982328 0.26779309
kong -0.77449656 -1.9465462
generate -1.0830109 -0.14433306
initial -1.3548622 0.24338853
blue -1.2798405 0.21942748
function -1.1734025 0.12854171
original -1.2858422 0.094121046
international -0.69210011 -1.974726
factors -0.63140041 -1.4121597
wang -0.78640205 -2.3872678
indicates -1.3138275 0.26826689
speci -0.97184926 -0.51668328
current -0.84736609 -0.67356575
trees -0.74639165 -0.65203303
task -0.9239803 -0.44434929
interaction -0.7703315 -0.87593287
performance -0.995803 -0.2227546
direction -1.1430385 -0.1305387
global -1.1087118 -0.25606951
detailed -1.0448472 -0.25650641
reveal -0.96843702 -0.38813061
semantic -0.85374236 -0.53335214
links -1.0857837 -0.49094376
matrix -0.97182673 -0.26451126
diversity -0.68910551 -1.336908
right -1.2935928 0.19344923
timeline -1.0045521 -0.30186328
compare -1.0681304 -0.19343968
structure -0.98779881 -0.31840277
axis -1.141093 -0.068837382
relations -0.96377528 -0.39859053
reduce -1.1790642 0.056071315
nd -0.89563423 -0.67909271
left -1.2897453 0.19522904
tag -0.67151737 -1.5048537
presented -0.97455239 -0.59171164
negative -1.2276709 0.16010144
dec -0.82360995 -2.4555228
introduce -1.047007 -0.17209972
networks -0.6517871 -1.5166912
transportation -0.74233532 -1.3061711
video -0.70261496 -0.9361608
competition -0.58638978 -1.482865
complex -0.90249932 -0.43508098
positive -1.3571937 0.31106889
andrienko -0.77958155 -2.4815478
encoding -1.1515824 -0.12748691
matching -0.7177248 -1.0992683
existing -0.93015331 -0.37494019
tvcg -0.72678876 -2.2348075
layouts -1.0353763 -0.14780805
segments -1.3423178 0.25498337
intuitive -1.0004443 -0.36595395
dynamics -0.7093451 -1.2907281
items -1.1877217 -0.016699979
extracted -0.99797183 -0.30995193
position -1.0149403 -0.23631461
coordinates -0.881455 -0.51575488
future -0.80909586 -0.90692103
allow -1.1085708 -0.19803789
period -1.1951456 0.041846246
segment -1.1416972 -0.0068300781
http -0.76639968 -2.0698106
basic -0.93787777 -0.42873454
total -1.2770106 0.14744528
pair -1.070314 -0.35587436
individual -1.0569422 -0.2586776
glyphs -1.1702251 -0.13138604
type -0.91804707 -0.51032346
query -1.0951438 -0.19159293
mesh -1.9710848 0.99139184
tweet -1.1332128 -0.062171455
volume -0.66547823 -0.93827832
examine -1.176393 0.012964103
solutions -1.4337268 0.10721666
feedback -0.91476941 -0.58069903
significance -1.5614142 0.50338542
correlations -0.94845545 -0.42243841
directly -1.1108521 -0.1015079
illustrate -0.94533634 -0.35045111
image -0.84308541 -0.44603294
lag -1.0948617 -0.30096251
allows -1.0576649 -0.25797051
vector -0.89027208 -0.38719425
table -1.0806738 -0.036114123
world -0.74693799 -0.9808017
th -0.83130985 -1.0081017
deep -0.66046727 -1.075695
microsoft -0.60804576 -1.6024052
areas -1.095403 -0.19727427
represented -1.1704074 0.07665547
center -0.96084392 -0.28549021
entity -0.93419862 -0.49612778
demonstrate -1.0238941 -0.34100938
improve -0.90731782 -0.6106565
symposium -0.72026128 -2.4064515
green -1.3879896 0.26149562
forum -0.7708801 -1.0610119
algorithms -0.76757258 -0.85525167
exploring -0.73149621 -1.1088469
aggregation -0.92665815 -0.57542402
quickly -1.1414549 -0.09909948
applied -0.84387743 -0.64999676
web -0.70185649 -1.6567702
approaches -0.79018003 -0.81709427
quality -0.85376209 -0.57565904
ideas -1.2233208 -0.11301832
coopetition -0.65844941 -0.82593006
interested -1.0568594 -0.18867025
source -1.09448 -0.24573666
cells -1.1624019 -0.16169757
effectiveness -0.99599946 -0.39864075
levels -1.021965 -0.40775177
government -1.327618 0.43225142
defined -1.2454219 0.18944529
researchers -0.81965911 -0.66987652
tool -0.78801972 -0.83719736
metaphor -0.87804496 -0.58291328
relationship -1.0478047 -0.17858732
ef -0.90324891 -0.74581105
facets -0.83377749 -0.60436738
terms -1.0887847 -0.14142796
vi -0.7706036 -0.67131591
tions -0.89693558 -0.60785604
datasets -0.79687166 -0.66461694
corpora -0.60425365 -1.4589683
issue -0.98416102 -0.28899866
computing -0.63100302 -1.4072204
facet -1.0371724 -0.53180945
images -0.93505484 -0.25189418
degree -0.80078888 -1.8347954
non -0.78947234 -0.56645834
issues -0.89604932 -0.55277145
categories -0.9301064 -0.42034107
students -0.96268618 -0.40940896
china -0.77726334 -1.729694
storyline -0.82551694 -0.79015929
conducted -0.99422008 -0.2686933
weight -1.5048681 0.48934805
novel -0.82775712 -0.78472459
click -1.1150504 -0.11501384
grid -1.7076235 0.53928173
learner -0.96309096 -0.3523443
consists -1.0269532 -0.19595608
score -1.433665 0.41333681
framework -0.6694023 -1.0184821
bipartite -0.87894797 -0.41614816
develop -0.8280403 -0.63135803
target -1.3333197 0.04432847
chen -0.75653148 -2.3250468
measure -1.0880165 -0.084544405
highlighted -1.2884828 0.021154953
conf -0.83938855 -2.4860537
cui -0.79059577 -2.4119215
received -0.75136054 -1.6733103
energy -1.391647 0.24496467
input -1.1327527 0.036518686
curve -1.1511911 -0.0044659711
evaluation -0.92409694 -0.63362628
statistical -0.83320826 -0.64104939
positions -1.3236414 0.22010382
evolving -0.62312722 -1.2192214
statistics -0.98313415 -0.26177311
transition -1.1957934 0.047650579
enables -0.98764646 -0.37193951
analytical -0.88968325 -0.71701849
merging -0.98867726 -0.19278798
width -1.2852898 0.2002431
representation -0.83523822 -0.55349207
shape -1.1541259 -0.080718413
zhou -0.79495245 -2.5344148
trends -0.81034935 -0.70995766
form -1.0719347 -0.18107776
posts -0.99450272 -0.2252146
commented -1.1650517 0.029539922
flows -1.0591235 -0.27148205
corpus -1.0981787 -0.27463889
sub -1.1007718 -0.11309233
records -0.88342917 -0.51441473
forms -0.91290677 -0.45792726
requirements -0.98859876 -0.28190774
term -1.1077148 -0.081255496
caused -1.2803403 0.27122846
cost -1.3206666 0.12873042
propagation -1.3839412 0.12791497
od -1.1776003 -0.19402136
interactively -0.95373189 -0.50777799
enable -1.0029962 -0.389312
encodes -1.3070244 0.16484623
means -1.2011601 0.059318367
bars -1.215548 0.032870401
engine -0.80609781 -1.0850013
described -1.0600522 -0.18681595
employ -1.1518325 0.014509211
circle -1.2020426 0.041390546
icon -1.0677686 -0.10665751
challenges -0.61909276 -1.3946232
directed -0.98564106 -0.21771617
sequence -0.98459017 -0.24873608
sampling -0.90397578 -0.27059457
spatio -0.75467527 -1.1765331
place -0.95063567 -0.4482336
relevant -0.88241208 -0.45605132
discussion -1.0892885 -0.061374247
sentiment -0.78858507 -0.72789168
ebola -1.2652072 0.058463447
inter -0.82906789 -0.80951345
active -0.91331959 -0.45132345
dif -1.0311884 -0.38320968
crossings -1.358583 0.24760352
metric -1.1203299 -0.0062194406
ex -0.93594229 -0.50653434
multidimensional -0.67013073 -1.0617412
address -0.93679857 -0.42789027
dimensions -0.91054249 -0.49503884
travel -0.93813843 -0.61514825
switching -0.96627975 -0.60647368
index -1.0062649 -0.24840549
effectively -0.98641485 -0.36711836
org -0.68070793 -1.9759212
colors -1.236587 0.066264354
representative -1.0442567 -0.15626329
facetatlas -0.75873649 -0.85302383
resizing -0.91437596 -0.32737479
extract -0.9445402 -0.42108181
evaluate -1.0723538 -0.189799
supported -0.77199572 -0.88201821
themeriver -0.6809088 -1.1793576
mapping -0.88076115 -0.50768304
quantitative -0.96520114 -0.35030538
specific -0.93856567 -0.38714185
hk -0.59646446 -1.9579592
evolutionary -0.64749777 -0.97380781
measures -1.1977484 0.044567604
ma -0.716187 -2.1685622
wei -0.80230707 -2.5212185
selection -0.89137161 -0.56990379
icons -1.0420686 -0.26696298
detect -1.0605493 -0.23121618
sets -0.883138 -0.38468987
placed -1.4744347 0.3787457
mean -0.94034892 -0.24867246
components -1.0243492 -0.33417869
indicate -1.2087463 0.03050462
highly -1.032425 -0.27758923
displayed -1.1628379 -0.045643721
customers -0.97193736 -0.36805192
variables -1.1114405 -0.088311352
presents -1.0273405 -0.28280592
weights -1.4620035 0.45979604
item -1.4767009 0.42410994
voronoi -0.97865921 -0.38502386
destination -0.74926358 -1.2467078
mooc -0.65471232 -1.136102
usefulness -1.0549576 -0.33647883
connections -1.0409868 -0.029954547
linear -1.000118 -0.22308642
able -0.9153735 -0.51422334
random -1.3287452 0.2853018
activities -0.9746961 -0.42752555
splitting -0.9698258 -0.24406861
machine -0.70322061 -1.2452615
accuracy -1.2088038 0.055598363
vehicle -0.95783132 -0.62600666
dropout -0.86080486 -0.56592315
plan -1.081995 -0.31065384
attribute -0.88172531 -0.55542111
displays -0.98290241 -0.46078494
hotel -0.67074382 -1.1711783
google -0.8180992 -0.49858135
pixel -0.93130344 -0.67341369
segmentation -1.0126978 -0.3926661
threads -1.4655893 0.17323138
traditional -0.96289915 -0.33916268
split -1.3039665 0.23036776
height -1.2889645 0.1604816
called -0.94707352 -0.4559226
problems -0.85216218 -0.68248838
collected -0.86043572 -0.55545366
tools -0.76404798 -1.0535064
available -0.72245288 -1.756242
charts -0.91915345 -0.64566141
influence -1.1582537 0.056150969
compute -1.3019404 0.17820434
post -1.0969256 -0.072761245
comparing -1.0202358 -0.257164
